Party,Turnout,Race,Education,Children,Employment,FamilyIncome,VotingMethod,GayMarriage,DeathPenalty,UniHealthCare,GlobalWarming,TradePolicy,GenderEquality
Republican Party,Yes,White,16,No,Retired,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Don't know
Republican Party,Yes,White,13,No,Permanently disabled,65000.0,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,55000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,75000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Full-time,45000.0,In person before the election,Don't know,Favor the death penalty,No,Probably is happening,Favor,Women have more opportunities than men
Democratic Party,Yes,White,16,No,Retired,35000.0,By mail,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Black,18,Yes,Full-time,130000.0,In person on election day,Oppose,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,225000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,25000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,90000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,110000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Full-time,225000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Retired,110000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Retired,45000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Full-time,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,16,Yes,Part-time,45000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,25000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is not happening,Don't know,Women have more opportunities than men
Republican Party,Yes,White,16,Yes,Retired,225000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Unemployed,55000.0,In person before the election,Favor,Favor the death penalty,Yes,Don't know,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Full-time,110000.0,In person on election day,Oppose,Favor the death penalty,No,Don't know,Favor,Women have more opportunities than men
Republican Party,Yes,White,13,No,Retired,45000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,15000.0,In person on election day,Don't know,Favor the death penalty,Don't know,Definitely is not happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,White,16,Yes,Full-time,175000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Asian,16,Yes,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Full-time,130000.0,In person on election day,Favor,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,Hispanic,13,No,Full-time,175000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Part-time,,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Full-time,65000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Part-time,,In person on election day,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Hispanic,16,No,Full-time,,In person on election day,Favor,Favor the death penalty,No,Don't know,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Full-time,25000.0,By mail,Don't know,Don't know,No,Probably is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,12,No,Retired,45000.0,By mail,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Part-time,35000.0,By mail,Oppose,Favor the death penalty,No,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,65000.0,By mail,Favor,Don't know,No,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Full-time,,By mail,Favor,Don't know,No,Probably is happening,Oppose,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Retired,110000.0,By mail,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Unemployed,15000.0,In person before the election,Oppose,Favor the death penalty,No,Probably is happening,Don't know,Men and women have equal opportunities
Republican Party,Yes,Hispanic,16,No,Retired,75000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,13,No,Permanently disabled,15000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,25000.0,By mail,Favor,Opposed to the death penalty,No,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,16,No,Retired,,By mail,Don't know,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,16,No,Unemployed,65000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Don't know,Women have more opportunities than men
Republican Party,Yes,White,13,Yes,Full-time,175000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Unemployed,25000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,12,No,Part-time,,In person on election day,Oppose,Favor the death penalty,No,Don't know,Don't know,Don't know
Republican Party,Yes,Black,16,Yes,Full-time,110000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Don't know
Democratic Party,Yes,Black,16,No,Full-time,75000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Retired,25000.0,By mail,Oppose,Opposed to the death penalty,No,Probably is not happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Full-time,175000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Mixed,16,No,Retired,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,90000.0,In person before the election,Favor,Favor the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,65000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,Hispanic,16,Yes,Full-time,175000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,12,No,Homemaker,,In person before the election,Don't know,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,Yes,Full-time,75000.0,In person on election day,Favor,Favor the death penalty,Yes,Probably is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,16,No,Retired,55000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Other,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Black,18,No,Retired,,In person on election day,Don't know,Favor the death penalty,Don't know,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Full-time,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Full-time,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,Yes,Full-time,65000.0,In person on election day,Oppose,Favor the death penalty,No,Probably is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,Other,18,Yes,Full-time,300000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,18,No,Retired,175000.0,In person before the election,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,175000.0,By mail,Favor,Opposed to the death penalty,Yes,Probably is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,12,No,Retired,15000.0,In person before the election,Oppose,Don't know,No,Probably is happening,Don't know,Men and women have equal opportunities
Democratic Party,Yes,White,18,No,Retired,130000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Unemployed,,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Black,16,No,Retired,130000.0,By mail,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Part-time,130000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,Hispanic,16,No,Full-time,300000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Democratic Party,Yes,White,16,Yes,Homemaker,55000.0,In person on election day,Favor,Opposed to the death penalty,Yes,Definitely is happening,Oppose,Men have more opportunities than women
Republican Party,Yes,White,16,No,Permanently disabled,45000.0,In person on election day,Oppose,Favor the death penalty,No,Definitely is not happening,Oppose,Men and women have equal opportunities
Democratic Party,Yes,White,13,No,Retired,75000.0,By mail,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Full-time,175000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,175000.0,By mail,Favor,Opposed to the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,16,No,Retired,55000.0,In person before the election,Favor,Don't know,Yes,Definitely is happening,Favor,Men have more opportunities than women
Republican Party,Yes,White,18,No,Retired,175000.0,In person before the election,Favor,Don't know,Yes,Definitely is happening,Don't know,Men have more opportunities than women
Democratic Party,Yes,White,18,No,Retired,90000.0,In person before the election,Oppose,Favor the death penalty,No,Definitely is not happening,Favor,Women have more opportunities than men
Republican Party,Yes,White,16,No,Full-time,225000.0,In person on election day,Favor,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
Democratic Party,Yes,White,13,No,Retired,45000.0,In person before the election,Don't know,Favor the death penalty,No,Definitely is not happening,Favor,Men and women have equal opportunities
Republican Party,Yes,White,13,No,Retired,65000.0,In person before the election,Don't know,Favor the death penalty,Yes,Definitely is happening,Favor,Men have more opportunities than women
